participant_id,survey_source,topic,state,year,state_year_topic,perception,owner_party,own_013,cond1_z,cond2_z,condition_index_z,net_gub_approve_z,condition_1,condition_2,pid,gub_copartisan,owning_party_governor,copartisan_owned_governor,ideo3,white,black,male,bachelors,age_group,weight
kff16201248,kff16_aca,ACA,OK,2016,OK_2016_ACA,0,D,0,-0.448477351,0.735159016,0.195066908,NA,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,1,0,1,1.538374466
kff16201249,kff16_aca,ACA,MO,2016,MO_2016_ACA,1,D,2,0.802067935,0.661105648,0.995587722,-0.371220639,enroll_pct_of_uninsured2010,premium,1,1,1,1,3,0,1,1,0,2,1.269933284
kff16201250,kff16_aca,ACA,MO,2016,MO_2016_ACA,1,D,2,0.802067935,0.661105648,0.995587722,-0.371220639,enroll_pct_of_uninsured2010,premium,1,1,1,1,1,0,0,0,0,1,1.868763613
kff16201259,kff16_aca,ACA,MT,2016,MT_2016_ACA,0,D,2,0.567147151,0.587052279,0.785352329,0.91473824,enroll_pct_of_uninsured2010,premium,3,0,1,0,3,1,0,1,0,2,1.032466085
kff16201278,kff16_aca,ACA,WA,2016,WA_2016_ACA,1,D,2,-0.428100678,1.281302611,0.580544495,-0.806315154,enroll_pct_of_uninsured2010,premium,3,0,1,0,2,1,0,1,0,2,1.404153875
kff16201280,kff16_aca,ACA,WY,2016,WY_2016_ACA,0,D,0,0.136634714,-0.718138345,-0.395672723,0.280194398,enroll_pct_of_uninsured2010,premium,3,1,0,0,2,1,0,0,0,3,1.331881249
kff16201284,kff16_aca,ACA,NV,2016,NV_2016_ACA,0,D,0,-0.928721778,0.920292438,-0.005735579,0.559495395,enroll_pct_of_uninsured2010,premium,1,0,0,0,3,1,0,0,0,2,1.073764728
kff16201297,kff16_aca,ACA,NA,2016,NA_2016_ACA,1,D,NA,NA,NA,NA,NA,enroll_pct_of_uninsured2010,premium,2,NA,NA,NA,3,1,0,0,0,1,1.135712693
kff16201298,kff16_aca,ACA,OK,2016,OK_2016_ACA,1,D,0,-0.448477351,0.735159016,0.195066908,NA,enroll_pct_of_uninsured2010,premium,1,0,0,0,1,1,0,1,1,1,1.744867683
kff16201302,kff16_aca,ACA,MI,2016,MI_2016_ACA,0,D,0,0.132572369,1.160965887,0.880162696,-0.988741508,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,1,0,2,0.815648207
kff16201308,kff16_aca,ACA,IL,2016,IL_2016_ACA,0,D,1,-0.351439313,1.207249242,0.582319055,-1.085564372,enroll_pct_of_uninsured2010,premium,2,0,0,0,2,1,0,1,0,2,1.352530571
kff16201309,kff16_aca,ACA,HI,2016,HI_2016_ACA,0,D,3,-0.971435841,1.142452545,0.116364956,NA,enroll_pct_of_uninsured2010,premium,3,0,1,0,3,1,0,1,1,1,0.898245494
kff16201315,kff16_aca,ACA,ID,2016,ID_2016_ACA,0,D,0,0.7416814,0.93880578,1.143454491,NA,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,0,0,3,0.85694685
kff16201316,kff16_aca,ACA,RI,2016,RI_2016_ACA,0,D,3,0.044456211,1.133195873,0.801310227,-2.33550213,enroll_pct_of_uninsured2010,premium,1,1,1,1,2,1,0,0,1,3,0.598830329
kff16201318,kff16_aca,ACA,WA,2016,WA_2016_ACA,0,D,2,-0.428100678,1.281302611,0.580544495,-0.806315154,enroll_pct_of_uninsured2010,premium,3,0,1,0,3,0,0,0,0,2,1.837789631
kff16201320,kff16_aca,ACA,TN,2016,TN_2016_ACA,1,D,0,0.22935715,0.911035767,0.775957959,1.10344511,enroll_pct_of_uninsured2010,premium,3,1,0,0,2,1,0,1,1,2,0.37168779
